Province,City,Area
BANTEN,CILEGON,PURWAKARTA-CIL
BANTEN,CILEGON,GEROGOL
BANTEN,CILEGON,PULO MERAK
JAWA BARAT,CIMAHI,CIMAHI SELATAN
JAWA BARAT,CIMAHI,CIMAHI TENGAH
JAWA BARAT,CIMAHI,CIMAHI UTARA
JAWA BARAT,CIREBON,KEJAKSAN
JAWA BARAT,CIREBON,KESAMBI
JAWA BARAT,CIREBON,HARJAMUKTI
JAWA BARAT,CIREBON,LEMAH WUNGKUK
JAWA BARAT,CIREBON,PEKALIPAN
SUMATERA UTARA,DAIRI,SIDIKALANG
PAPUA,DEIYAI,BOWOBADO
PAPUA,DEIYAI,KAPIRAYA
PAPUA,DEIYAI,TIGI
PAPUA,DEIYAI,TIGI BARAT
JAWA TENGAH,DEMAK,DEMAK
JAWA BARAT,DEPOK,PANCORAN MAS
JAWA BARAT,DEPOK,CIMANGGIS
JAWA BARAT,DEPOK,SAWANGAN-DPK
JAWA BARAT,DEPOK,SUKMAJAYA
JAWA BARAT,DEPOK,LIMO
JAWA BARAT,DEPOK,BEJI-DPK
JAWA BARAT,DEPOK,TAPOS
JAWA BARAT,DEPOK,CINERE
JAWA BARAT,DEPOK,CILODONG
JAWA BARAT,DEPOK,BOJONGSARI-DPK
SUMATERA BARAT,DHAMASRAYA,PULAU PUNJUNG
PAPUA,DOGIYAI,DOGIYAI
PAPUA,DOGIYAI,KAMU
PAPUA,DOGIYAI,KAMU SELATAN
PAPUA,DOGIYAI,KAMU TIMUR
PAPUA,DOGIYAI,KAMU UTARA
PAPUA,DOGIYAI,MAPIA
PAPUA,DOGIYAI,MAPIA BARAT
PAPUA,DOGIYAI,MAPIA TENGAH
PAPUA,DOGIYAI,PIYAIYE
PAPUA,DOGIYAI,SUKIKAI SELATAN
PAPUA,DOGIYAI,SUKIKA
RIAU,DUMAI,DUMAI BARAT
RIAU,DUMAI,DUMAI KOTA
RIAU,DUMAI,DUMAI SELATAN
RIAU,DUMAI,DUMAI TIMUR
SUMATERA SELATAN,EMPAT LAWANG,TEBING TINGGI-TBI
NUSA TENGGARA TIMUR,ENDE,PULAU ENDE
NUSA TENGGARA TIMUR,ENDE,WEWARIA
NUSA TENGGARA TIMUR,ENDE,WOLOJITA
SULAWESI SELATAN,ENREKANG,ENREKANG
PAPUA BARAT,FAK-FAK,FAK FAK
JAWA BARAT,GARUT,TAROGONG KALER
JAWA BARAT,GARUT,TAROGONG KIDUL
JAWA BARAT,GARUT,SAMARANG
JAWA BARAT,GARUT,BAYONGBONG
JAWA BARAT,GARUT,KARANGPAWITAN
JAWA BARAT,GARUT,BLUBUR LIMBANGAN
JAWA BARAT,GARUT,SELAAWI
JAWA BARAT,GARUT,KADUNGORA
JAWA BARAT,GARUT,LELES-GRT
NANGGROE ACEH DARUSSALAM,GAYO LUES,BLANG KEJEREN
NANGGROE ACEH DARUSSALAM,GAYO LUES,BLANG PEGAYON
NANGGROE ACEH DARUSSALAM,GAYO LUES,DABUN GELANG
NANGGROE ACEH DARUSSALAM,GAYO LUES,KUTA PANJANG
NANGGROE ACEH DARUSSALAM,GAYO LUES,PANTAN CUACA
NANGGROE ACEH DARUSSALAM,GAYO LUES,PUTRI BETUNG
NANGGROE ACEH DARUSSALAM,GAYO LUES,RIKIT GAIB
NANGGROE ACEH DARUSSALAM,GAYO LUES,TERANGUN
NANGGROE ACEH DARUSSALAM,GAYO LUES,TERIPE JAYA
NANGGROE ACEH DARUSSALAM,GAYO LUES,BLANG JERANGO
GORONTALO,GORONTALO UTARA,KWANDANG
GORONTALO,GORONTALO,KOTA BARAT
GORONTALO,GORONTALO,KOTA SELATAN
GORONTALO,GORONTALO,KOTA TIMUR
GORONTALO,GORONTALO,DUMBO RAYA
GORONTALO,GORONTALO,HULONTHALANGI
GORONTALO,GORONTALO,SIPATANA
GORONTALO,GORONTALO,KOTA UTARA
GORONTALO,GORONTALO,KOTA TENGAH
SULAWESI TENGGARA,BUTON UTARA,KAMBOWA
SULAWESI TENGGARA,BUTON UTARA,KULISUSU BARAT
SULAWESI TENGGARA,BUTON UTARA,KULISUSU UTARA
NANGGROE ACEH DARUSSALAM,ACEH BARAT DAYA,BLANG PIDIE
NANGGROE ACEH DARUSSALAM,ACEH SELATAN,TAPAK TUAN
JAWA TENGAH,AMBARAWA,AMBARAWA-AMB
MALUKU,AMBON,BAGUALA
MALUKU,AMBON,TELUK AMBON
KALIMANTAN SELATAN,AMUNTAI,AMUNTAI SELATAN
KALIMANTAN SELATAN,AMUNTAI,AMUNTAI TENGAH
KALIMANTAN SELATAN,AMUNTAI,AMUNTAI UTARA
PAPUA,ARFAK,ANGGI
PAPUA,ARFAK,ANGGI GIDA
PAPUA,ARFAK,DIDOHU
PAPUA,ARFAK,MENYAMBOUW
PAPUA,ARFAK,TAIGE
PAPUA,ARFAK,TESTEGA
PAPUA,ARFAK,CATUBOUW
PAPUA,ARFAK,HINGK
PAPUA,ARFAK,MEMBEY
SUMATERA UTARA,ASAHAN,ASAHAN
SUMATERA UTARA,ASAHAN,KISARAN BARAT KOTA
SUMATERA UTARA,ASAHAN,KISARAN TIMUR KOTA
PAPUA,ASMAT,AGATS
PAPUA,ASMAT,AKAT
PAPUA,ASMAT,FAYIT
PAPUA,ASMAT,PANTAI KASUARI
PAPUA,ASMAT,SAWA ERMA
PAPUA,ASMAT,SUATOR
PAPUA,ASMAT,KOLF BRAZA
PAPUA,ASMAT,SURU-SURU
PAPUA,ASMAT,UNIR SIRAU
PAPUA,ASMAT,DER KOUMUR
PAPUA,ASMAT,BETCBAMU
PAPUA,ASMAT,JETSY
PAPUA,ASMAT,KOPLAY
PAPUA,ASMAT,PULAU TIGA-AGT
PAPUA,ASMAT,SAFAN
PAPUA,ASMAT,SIRETS
PAPUA,ASMAT,KUATOR
PAPUA,ASMAT,AYIP
BALI,BADUNG,MENGWI
BALI,BADUNG,KUTA
NUSA TENGGARA TIMUR,BAJAWA,AIMERE
NUSA TENGGARA TIMUR,BAJAWA,BAJAWA UTARA
NUSA TENGGARA TIMUR,BAJAWA,RIUNG
NUSA TENGGARA TIMUR,BAJAWA,RIUNG BARAT WOLOMEZE
NUSA TENGGARA TIMUR,BAJAWA,RIUNG SELATAN
NUSA TENGGARA TIMUR,BAJAWA,SOA
NUSA TENGGARA TIMUR,BAJAWA,GOLEWA BARAT
NUSA TENGGARA TIMUR,BAJAWA,GOLEWA SELATAN
NUSA TENGGARA TIMUR,BAJAWA,INERIE
NUSA TENGGARA TIMUR,BAJAWA,BAJAWA
KALIMANTAN SELATAN,BALANGAN,AWAYAN
KALIMANTAN SELATAN,BALANGAN,BATU MANDI
KALIMANTAN SELATAN,BALANGAN,HALONG
KALIMANTAN SELATAN,BALANGAN,JUAI
KALIMANTAN SELATAN,BALANGAN,LAMPIHONG
KALIMANTAN SELATAN,BALANGAN,PARINGIN
KALIMANTAN SELATAN,BALANGAN,TEBING TINGGI-PAG
BANTEN,BALARAJA,KELAPA DUA
BANTEN,BALARAJA,JAMBE
BANTEN,BALARAJA,PANONGAN
BANTEN,BALARAJA,TIGARAKSA
BANTEN,BALARAJA,MEKAR BARU
BANTEN,BALARAJA,SINDANG JAYA
BANTEN,BALARAJA,PASAR KEMIS
BANTEN,BALARAJA,RAJEG
BANTEN,BALARAJA,TELUK NAGA
BANTEN,BALARAJA,SEPATAN TIMUR
BANTEN,BALARAJA,CISAUK
BANTEN,BALARAJA,JAYANTI
BANTEN,BALARAJA,KRONJO
BANTEN,BALARAJA,KRESEK
BANTEN,BALARAJA,PAGEDANGAN
BANTEN,BALARAJA,LEGOK
BANTEN,BALARAJA,CURUG-BAL
BANTEN,BALARAJA,KEMIRI-BAL
BANTEN,BALARAJA,MAUK
BANTEN,BALARAJA,PAKUHAJI
BANTEN,BALARAJA,SEPATAN
BANTEN,BALARAJA,SUKA DIRI
BANTEN,BALARAJA,KOSAMBI
BANTEN,BALARAJA,SOLEAR
BANTEN,BALARAJA,CISOKA
BANTEN,BALARAJA,SUKAMULYA
KALIMANTAN TIMUR,BALIKPAPAN,BALIKPAPAN KOTA
KALIMANTAN TIMUR,BALIKPAPAN,BALIKPAPAN BARAT
KALIMANTAN TIMUR,BALIKPAPAN,BALIKPAPAN TIMUR
KALIMANTAN TIMUR,BALIKPAPAN,BALIKPAPAN UTARA
KALIMANTAN TIMUR,BALIKPAPAN,BALIKPAPAN SELATAN
KALIMANTAN TIMUR,BALIKPAPAN,BALIKPAPAN TENGAH
NANGGROE ACEH DARUSSALAM,BANDA ACEH,MEURAKSA
NANGGROE ACEH DARUSSALAM,BANDA ACEH,JAYA BARU
NANGGROE ACEH DARUSSALAM,BANDA ACEH,BANDA RAYA
NANGGROE ACEH DARUSSALAM,BANDA ACEH,BAITURRAHMAN
NANGGROE ACEH DARUSSALAM,BANDA ACEH,LUENG BATA
NANGGROE ACEH DARUSSALAM,BANDA ACEH,KUTA ALAM
NANGGROE ACEH DARUSSALAM,BANDA ACEH,KUTA RAJA
NANGGROE ACEH DARUSSALAM,BANDA ACEH,SYIAH KUALA
NANGGROE ACEH DARUSSALAM,BANDA ACEH,ULEE KARENG
LAMPUNG,BANDAR LAMPUNG,KEDATON
LAMPUNG,BANDAR LAMPUNG,KEMILING
LAMPUNG,BANDAR LAMPUNG,RAJABASA-TKG
LAMPUNG,BANDAR LAMPUNG,SUKABUMI-TKG
LAMPUNG,BANDAR LAMPUNG,ENGGAL
LAMPUNG,BANDAR LAMPUNG,LABUHAN RATU
LAMPUNG,BANDAR LAMPUNG,LANGKAPURA
LAMPUNG,BANDAR LAMPUNG,WAY HALIM
LAMPUNG,BANDAR LAMPUNG,KEDAMAIAN
LAMPUNG,BANDAR LAMPUNG,TANJUNG KARANG TIMUR
LAMPUNG,BANDAR LAMPUNG,SUKARAME-TKG
LAMPUNG,BANDAR LAMPUNG,TANJUNG KARANG BARAT
LAMPUNG,BANDAR LAMPUNG,TANJUNG KARANG PUSAT
LAMPUNG,BANDAR LAMPUNG,PANJANG
LAMPUNG,BANDAR LAMPUNG,TELUK BETUNG SELATAN
LAMPUNG,BANDAR LAMPUNG,BUMI WARAS
LAMPUNG,BANDAR LAMPUNG,TELUK BETUNG BARAT
LAMPUNG,BANDAR LAMPUNG,TELUK BETUNG UTARA
LAMPUNG,BANDAR LAMPUNG,TELUK BETUNG TIMUR
JAWA BARAT,BANDUNG,CIBEUNYING KIDUL-BDO
JAWA BARAT,BANDUNG,CINAMBO
JAWA BARAT,BANDUNG,GEDE BAGE
JAWA BARAT,BANDUNG,PANYILEUKAN
JAWA BARAT,BANDUNG,RANCASARI
JAWA BARAT,BANDUNG,SUKASARI-BDO
JAWA BARAT,BANDUNG,BABAKAN CIPARAY
JAWA BARAT,BANDUNG,ASTANA ANYAR
JAWA BARAT,BANDUNG,BANDUNG WETAN
JAWA BARAT,BANDUNG,CICENDO
JAWA BARAT,BANDUNG,CIDADAP-BDO
JAWA BARAT,BANDUNG,UJUNG BERUNG
JAWA BARAT,BANDUNG,CIBIRU
JAWA BARAT,BANDUNG,MANDALA JATI
JAWA BARAT,BANDUNG,ARCAMANIK
JAWA BARAT,BANDUNG,COBLONG
JAWA BARAT,BANDUNG,BATU NUNGGAL
JAWA BARAT,BANDUNG,SUKAJADI-BDO
JAWA BARAT,BANDUNG,BANDUNG KULON
JAWA BARAT,BANDUNG,LENGKONG-BDO
JAWA TIMUR,GRESIK,KEBOMAS
JAWA TIMUR,GRESIK,GRESIK
JAWA TENGAH,GROBOGAN,PURWODADI-PDD
SUMATERA UTARA,GUNUNG SITOLI,GUNUNG SITOLI
SUMATERA UTARA,GUNUNG SITOLI,GUNUNG SITOLI BARAT
SUMATERA UTARA,GUNUNG SITOLI,GUNUNG SITOLI IDANOI
SUMATERA UTARA,GUNUNG SITOLI,GUNUNG SITOLI SELATAN
SUMATERA UTARA,GUNUNG SITOLI,GUNUNG SITOLI UTARA
MALUKU UTARA,HALMAHERA BARAT,IBU
MALUKU UTARA,HALMAHERA BARAT,LOLODA
MALUKU UTARA,HALMAHERA SELATAN,GANE BARAT
MALUKU UTARA,HALMAHERA SELATAN,GANE TIMUR
MALUKU UTARA,HALMAHERA SELATAN,KAYOA
MALUKU UTARA,HALMAHERA SELATAN,KAYOA BARAT
MALUKU UTARA,HALMAHERA SELATAN,KAYOA SELATAN
MALUKU UTARA,HALMAHERA SELATAN,MAKIAN
MALUKU UTARA,HALMAHERA SELATAN,OBI
MALUKU UTARA,HALMAHERA SELATAN,OBI SELATAN
MALUKU UTARA,HALMAHERA UTARA,LOLODA KEPULAUAN
MALUKU UTARA,HALMAHERA UTARA,LOLODA UTARA
MALUKU UTARA,HALMAHERA UTARA,MALIFUT
KALIMANTAN SELATAN,HULU SUNGAI TENGAH,BARABAI
SUMATERA UTARA,HUMBANG HASUNDUTAN,DOLOK SANGGUL
NANGGROE ACEH DARUSSALAM,IDI RAYEUK,IDI RAYEUK
RIAU,INDRAGIRI HILIR,TEMBILAHAN
RIAU,INDRAGIRI HILIR,TEMBILAHAN HULU
RIAU,INDRAGIRI HULU,RENGAT
JAWA BARAT,INDRAMAYU,INDRAMAYU
JAWA BARAT,INDRAMAYU,JATIBARANG-IDM
PAPUA,INTAN JAYA,AGISIGA
PAPUA,INTAN JAYA,BIANDOGA
PAPUA,INTAN JAYA,HOMEO
PAPUA,INTAN JAYA,SUGAPA
PAPUA,INTAN JAYA,WANDAI
PAPUA,INTAN JAYA,UGIMBA
PAPUA,INTAN JAYA,TOMOSIGA
DKI JAKARTA,JAKARTA,CENGKARENG
DKI JAKARTA,JAKARTA,KALIDERES
DKI JAKARTA,JAKARTA,KEMBANGAN
DKI JAKARTA,JAKARTA,KEBON JERUK
DKI JAKARTA,JAKARTA,PALMERAH
DKI JAKARTA,JAKARTA,TAMBORA
DKI JAKARTA,JAKARTA,GROGOL PETAMBURAN
DKI JAKARTA,JAKARTA,KOJA
DKI JAKARTA,JAKARTA,KELAPA GADING
DKI JAKARTA,JAKARTA,TANJUNG PRIOK
DKI JAKARTA,JAKARTA,PENJARINGAN
DKI JAKARTA,JAKARTA,KAMAL-JKT
DKI JAKARTA,JAKARTA,PADEMANGAN
DKI JAKARTA,JAKARTA,CILINCING
DKI JAKARTA,JAKARTA,TANAH ABANG-JKT
DKI JAKARTA,JAKARTA,MENTENG
DKI JAKARTA,JAKARTA,SENEN
DKI JAKARTA,JAKARTA,JOHAR BARU
DKI JAKARTA,JAKARTA,CEMPAKA PUTIH
DKI JAKARTA,JAKARTA,KEMAYORAN
DKI JAKARTA,JAKARTA,GAMBIR
DKI JAKARTA,JAKARTA,CAKUNG
DKI JAKARTA,JAKARTA,PULO GADUNG
DKI JAKARTA,JAKARTA,JATINEGARA-JKT
DKI JAKARTA,JAKARTA,MATRAMAN
DKI JAKARTA,JAKARTA,PASAR REBO
DKI JAKARTA,JAKARTA,KRAMAT JATI
DKI JAKARTA,JAKARTA,CIRACAS
DKI JAKARTA,JAKARTA,CIPAYUNG-JKT
DKI JAKARTA,JAKARTA,MAKASAR
DKI JAKARTA,JAKARTA,DUREN SAWIT
DKI JAKARTA,JAKARTA,KEBAYORAN LAMA
DKI JAKARTA,JAKARTA,PESANGGRAHAN-JKT
DKI JAKARTA,JAKARTA,CILANDAK
DKI JAKARTA,JAKARTA,PASAR MINGGU
NUSA TENGGARA TIMUR,MAUMERE,BOLA-MOF
NUSA TENGGARA TIMUR,MAUMERE,KEWAPANTE
NUSA TENGGARA TIMUR,MAUMERE,LELA
NUSA TENGGARA TIMUR,MAUMERE,MEGO
NUSA TENGGARA TIMUR,MAUMERE,PAGA
NUSA TENGGARA TIMUR,MAUMERE,PALUE
NUSA TENGGARA TIMUR,MAUMERE,TALIBURA
NUSA TENGGARA TIMUR,MAUMERE,WAIGETE
PAPUA BARAT,MAYBRAT,AIFAT
PAPUA BARAT,MAYBRAT,AITINYO
PAPUA BARAT,MAYBRAT,AYAMARU
PAPUA BARAT,MAYBRAT,AYAMARU UTARA
PAPUA BARAT,MAYBRAT,MARE-KUM
PAPUA BARAT,MAYBRAT,AIFAT SELATAN
PAPUA BARAT,MAYBRAT,AIFAT UTARA
PAPUA BARAT,MAYBRAT,AITINYO BARAT
PAPUA BARAT,MAYBRAT,AITINYO UTARA
PAPUA BARAT,MAYBRAT,AYAMARU TIMUR
PAPUA BARAT,MAYBRAT,AIFAT TIMUR SELATAN
PAPUA BARAT,MAYBRAT,AIFAT TIMUR TENGAH
PAPUA BARAT,MAYBRAT,AITINYO RAYA
PAPUA BARAT,MAYBRAT,AITINYO TENGAH
PAPUA BARAT,MAYBRAT,AYAMARU BARAT
PAPUA BARAT,MAYBRAT,AYAMARU JAYA
PAPUA BARAT,MAYBRAT,AYAMARU SELATAN
PAPUA BARAT,MAYBRAT,AYAMARU SELATAN JAYA
PAPUA BARAT,MAYBRAT,AYAMARU TENGAH
PAPUA BARAT,MAYBRAT,AYAMARU TIMUR SELATAN
PAPUA BARAT,MAYBRAT,AYAMARU UTARA TIMUR
PAPUA BARAT,MAYBRAT,MARE SELATAN
NUSA TENGGARA TIMUR,MBAY,AESESA
NUSA TENGGARA TIMUR,MBAY,BOAWAE
NUSA TENGGARA TIMUR,MBAY,KEO TENGAH
NUSA TENGGARA TIMUR,MBAY,MAUPONGGO
NUSA TENGGARA TIMUR,MBAY,NANGARORO
NUSA TENGGARA TIMUR,MBAY,WOLOWAE
SUMATERA UTARA,MEDAN,AMPLAS
SUMATERA UTARA,MEDAN,BARU
SUMATERA UTARA,MEDAN,JOHOR
SUMATERA UTARA,MEDAN,LABUHAN
SUMATERA UTARA,MEDAN,MAIMUN
SUMATERA UTARA,MEDAN,POLONIA
SUMATERA UTARA,MEDAN,MEDAN KOTA
SUMATERA UTARA,MEDAN,BELAWAN
SUMATERA UTARA,MEDAN,AREA
SUMATERA UTARA,MEDAN,DENAI
SUMATERA UTARA,MEDAN,PERCUT SEI TUAN
SUMATERA UTARA,MEDAN,MEDAN TIMUR
SUMATERA UTARA,MEDAN,PERJUANGAN
SUMATERA UTARA,MEDAN,PETISAH
SUMATERA UTARA,MEDAN,BARAT-MES
SUMATERA UTARA,MEDAN,DELI
SUMATERA UTARA,MEDAN,SELAYANG
SUMATERA UTARA,MEDAN,SUNGGAL-MES
SUMATERA UTARA,MEDAN,TUNTUNGAN
SUMATERA UTARA,MEDAN,HELVETIA
SUMATERA UTARA,MEDAN,MARELAN
SUMATERA BARAT,MENTAWAI,PAGAI UTARA
SUMATERA BARAT,MENTAWAI,SIBERUT BARAT
SUMATERA BARAT,MENTAWAI,SIBERUT BARAT DAYA
SUMATERA BARAT,MENTAWAI,SIBERUT SELATAN
SUMATERA BARAT,MENTAWAI,SIBERUT TENGAH
SUMATERA BARAT,MENTAWAI,SIBERUT UTARA
SUMATERA BARAT,MENTAWAI,SIKAKAP
SUMATERA BARAT,MENTAWAI,SIPORA SELATAN
SUMATERA BARAT,MENTAWAI,SIPORA UTARA
PAPUA,MERAUKE,MERAUKE
LAMPUNG,METRO,METRO PUSAT
LAMPUNG,METRO,METRO TIMUR
LAMPUNG,METRO,METRO UTARA
LAMPUNG,METRO,METRO BARAT
NANGGROE ACEH DARUSSALAM,MEUREUDU,MEUREUDU
SULAWESI UTARA,MINAHASA SELATAN,AMURANG
SULAWESI UTARA,MINAHASA TENGGARA,RATAHAN
SULAWESI UTARA,MINAHASA UTARA,AIRMADIDI
SULAWESI UTARA,MONGONDOW SELATAN,BOLAANG UKI
SULAWESI UTARA,MONGONDOW SELATAN,PINOLOSIAN
SULAWESI UTARA,MONGONDOW SELATAN,PINOLOSIAN TENGAH
SULAWESI UTARA,MONGONDOW SELATAN,POSIGADAN
KALIMANTAN TIMUR,MUARA BADAK,MUARA BADAK
SUMATERA SELATAN,MUARA DUA,MUARADUA
SUMATERA SELATAN,MUARA ENIM,LAWANG KIDUL
SUMATERA SELATAN,MUARA ENIM,MUARA ENIM
NUSA TENGGARA TIMUR,KUPANG,NEKEMESE-KOE
NUSA TENGGARA TIMUR,KUPANG,SEMAU
NUSA TENGGARA TIMUR,KUPANG,SEMAU SELATAN
NUSA TENGGARA TIMUR,KUPANG,SULAMU-KOE
NUSA TENGGARA TIMUR,KUPANG,TAEBENU-KOE
NUSA TENGGARA TIMUR,KUPANG,TAKARI-KOE
NUSA TENGGARA TIMUR,KUPANG,AMFOANG TENGAH
NANGGROE ACEH DARUSSALAM,KUTACANE,BABUL RAHMAH
NANGGROE ACEH DARUSSALAM,KUTACANE,BABUSSALAM
NANGGROE ACEH DARUSSALAM,KUTACANE,BADAR
NANGGROE ACEH DARUSSALAM,KUTACANE,BAMBEL
NANGGROE ACEH DARUSSALAM,KUTACANE,BUKIT TUSAM
NANGGROE ACEH DARUSSALAM,KUTACANE,DARUL HASANAH
NANGGROE ACEH DARUSSALAM,KUTACANE,DELENG POKHISEN
NANGGROE ACEH DARUSSALAM,KUTACANE,KETAMBE
NANGGROE ACEH DARUSSALAM,KUTACANE,LAWE ALAS
NANGGROE ACEH DARUSSALAM,KUTACANE,LAWE BULAN
NANGGROE ACEH DARUSSALAM,KUTACANE,LAWE SIGALA-GALA
NANGGROE ACEH DARUSSALAM,KUTACANE,LAWE SUMUR
NANGGROE ACEH DARUSSALAM,KUTACANE,LEUSER
NANGGROE ACEH DARUSSALAM,KUTACANE,SEMADAM
NANGGROE ACEH DARUSSALAM,KUTACANE,TANAH ALAS
NUSA TENGGARA TIMUR,LABUAN BAJO,KOMODO
NUSA TENGGARA TIMUR,LABUAN BAJO,KOMODO UTARA
NUSA TENGGARA TIMUR,LABUAN BAJO,KOMODO SELATAN
NUSA TENGGARA TIMUR,LABUAN BAJO,SANO NGGOANG
NUSA TENGGARA TIMUR,LABUAN BAJO,KUWUS
NUSA TENGGARA TIMUR,LABUAN BAJO,LEMBOR
NUSA TENGGARA TIMUR,LABUAN BAJO,LEMBOR SELATAN
NUSA TENGGARA TIMUR,LABUAN BAJO,MACANG PACAR
SUMATERA UTARA,LABUHAN BATU SELATAN,KAMPUNG RAKYAT
SUMATERA UTARA,LABUHAN BATU SELATAN,KOTA PINANG
SUMATERA UTARA,LABUHAN BATU SELATAN,SEI SUNGAI KANAN
SUMATERA UTARA,LABUHAN BATU SELATAN,SILANGKITANG
SUMATERA UTARA,LABUHAN BATU SELATAN,TORGAMBA
SULAWESI TENGGARA,LABUNGKARI,GU
SULAWESI TENGGARA,LABUNGKARI,MAWASANGKA TENGAH
SULAWESI TENGGARA,LABUNGKARI,TALAGA RAYA
SUMATERA SELATAN,LAHAT,LAHAT
SULAWESI TENGGARA,LANGARA,WAWONI
NANGGROE ACEH DARUSSALAM,LANGSA,LANGSA BARAT
NANGGROE ACEH DARUSSALAM,LANGSA,LANGSA KOTA
NANGGROE ACEH DARUSSALAM,LANGSA,LANGSA LAMA
NANGGROE ACEH DARUSSALAM,LANGSA,LANGSA BARO
NANGGROE ACEH DARUSSALAM,LANGSA,LANGSA TIMUR
PAPUA,LANNY JAYA,BALINGGA
PAPUA,LANNY JAYA,DIMBA
PAPUA,LANNY JAYA,GAMELIA
PAPUA,LANNY JAYA,KUYAWAGE
PAPUA,LANNY JAYA,MAKKI
PAPUA,LANNY JAYA,PIRIME
PAPUA,LANNY JAYA,TIOM
PAPUA,LANNY JAYA,TIOMNERI
PAPUA,LANNY JAYA,POGA-TOM
PAPUA,LANNY JAYA,AWINA
PAPUA,LANNY JAYA,AYUMNATI
PAPUA,LANNY JAYA,BALINGGA BARAT
PAPUA,LANNY JAYA,BRUWA
PAPUA,LANNY JAYA,BUGUK GONA
PAPUA,LANNY JAYA,GELOK BEAM
PAPUA,LANNY JAYA,GOA BALIM
PAPUA,LANNY JAYA,GOLLO
PAPUA,LANNY JAYA,GUPURA
PAPUA,LANNY JAYA,KARU
PAPUA,LANNY JAYA,KOLAWA
PAPUA,LANNY JAYA,KULY LANNY
PAPUA,LANNY JAYA,LANNYNA
PAPUA,LANNY JAYA,MELAGI
PAPUA,LANNY JAYA,MELAGINERI
PAPUA,LANNY JAYA,MILIMBO
PAPUA,LANNY JAYA,MOKONI
PAPUA,LANNY JAYA,MUARA-TOM
PAPUA,LANNY JAYA,NIKOGME
PAPUA,LANNY JAYA,NINAME
PAPUA,LANNY JAYA,NOGI
PAPUA,LANNY JAYA,YUGUNGWI
PAPUA,LANNY JAYA,TIOM OLLO
PAPUA,LANNY JAYA,WEREKA
PAPUA,LANNY JAYA,WIRINGGAMBUT
PAPUA,LANNY JAYA,YIGINUA
PAPUA,LANNY JAYA,YILUK
NUSA TENGGARA TIMUR,LARANTUKA,ADONARA
NUSA TENGGARA TIMUR,LARANTUKA,ADONARA BARAT
NUSA TENGGARA TIMUR,LARANTUKA,ADONARA TENGAH
NUSA TENGGARA TIMUR,LARANTUKA,ADONARA TIMUR
NUSA TENGGARA TIMUR,LARANTUKA,SOLOR BARAT
NUSA TENGGARA TIMUR,LARANTUKA,SOLOR TIMUR
NUSA TENGGARA TIMUR,LARANTUKA,SOLOR SELATAN
NANGGROE ACEH DARUSSALAM,LHOKSEUMAWE,BANDA SAKTI
NANGGROE ACEH DARUSSALAM,LHOKSEUMAWE,BLANG MANGAT
NANGGROE ACEH DARUSSALAM,LHOKSEUMAWE,MUARA SATU
NANGGROE ACEH DARUSSALAM,LHOKSUKON,LHOKSUKON
KEPULAUAN RIAU,LINGGA,LINGGA UTARA
KEPULAUAN RIAU,LINGGA,SENAYANG
KEPULAUAN RIAU,LINGGA,SINGKEP BARAT
KEPULAUAN RIAU,LINGGA,LINGGA TIMUR
KEPULAUAN RIAU,LINGGA,SINGKEP SELATAN
KEPULAUAN RIAU,LINGGA,SINGKEP PESISIR
KEPULAUAN RIAU,LINGGA,SELAYAR
NUSA TENGGARA BARAT,LOMBOK,PRAYA
NUSA TENGGARA BARAT,LOMBOK,BATU KLIANG
NUSA TENGGARA BARAT,LOMBOK,KOPANG
NUSA TENGGARA BARAT,LOMBOK,PRINGGARATA
NUSA TENGGARA BARAT,LOMBOK,PRAYA TENGAH
BENGKULU,LUBUK LINGGAU,LUBUK LINGGAU BARAT 1
BENGKULU,LUBUK LINGGAU,LUBUK LINGGAU BARAT 2
BENGKULU,LUBUK LINGGAU,LUBUK LINGGAU TIMUR 1
BENGKULU,LUBUK LINGGAU,LUBUK LINGGAU TIMUR 2
BENGKULU,LUBUK LINGGAU,LUBUK LINGGAU UTARA 2
BENGKULU,LUBUK LINGGAU,LUBUK LINGGAU SELATAN II
BENGKULU,LUBUK LINGGAU,LUBUK LINGGAU SELATAN I
BENGKULU,LUBUK LINGGAU,LUBUK LINGGAU UTARA I
SUMATERA UTARA,LUBUK PAKAM,BATANG KUIS
SUMATERA UTARA,LUBUK PAKAM,GALANG-LBK
SUMATERA UTARA,LUBUK PAKAM,LUBUK PAKAM
SUMATERA UTARA,LUBUK PAKAM,PANTAI LABU
JAWA TIMUR,LUMAJANG,SUKODONO-LMJ
JAWA TIMUR,LUMAJANG,SUMBERSUKO
SULAWESI SELATAN,LUWU,BELOPA
SULAWESI SELATAN,LUWU,KAMANRE
SULAWESI SELATAN,LUWU,SULI
JAWA TIMUR,MADIUN,KARTOHARJO-MDN
JAWA TIMUR,MADIUN,MANGUNHARJO
JAWA TIMUR,MADIUN,TAMAN-MDN
JAWA TIMUR,MADIUN,MANGUNHARJO ANYAR
JAWA TIMUR,MADIUN,MADIUN KOTA
JAWA TENGAH,MAGELANG,MAGELANG SELATAN
JAWA TENGAH,MAGELANG,MAGELANG TENGAH
JAWA TENGAH,MAGELANG,MAGELANG UTARA
JAWA TIMUR,MAGETAN,MAGETAN
JAWA BARAT,MAJALENGKA,JATIWANGI
JAWA BARAT,MAJALENGKA,MAJALENGKA
